CBPID,Samkey,HHID,AUID
677526260,2330000193714,175676990,175676990
677526519,2330000510601,177249410,177249410
677530122,2330001173607,2042735521,2042735521
677530368,2330000520092,2008503898,2008503898
677530521,2330000484619,176546025,176546025
677530619,2330001040488,2024177494,2024177494
677532034,2330000758474,172869841,172869841
677532234,2330000431940,173633028,173633028
677532707,2330001050545,2045441022,2045441022
677533209,2330000345350,172462662,172462662
677533396,2330000590917,172132706,172132706
677533400,2330000035139,2012953818,2012953818
677534198,2330001218194,2044713782,2044713782
677534260,2330000684786,2021867169,2021867169
677534884,2330000340348,177694850,177694850
677534926,2330000327260,174688155,174688155
677535142,2330000127700,300046815,300046815
