FAID,CBPID,Samkey,HHID,AUID
249748104,677543628,2330000687759,173063164,173063164
249749136,677543860,2330000691005,173526605,173526605
249752528,677544070,2330000419463,172723770,172723770
249755273,677544345,2330000958934,2023692754,2023692754
249756933,677544511,2330000765920,178057261,178057261
249757832,677544602,2330000515566,174198098,174198098
249760653,677544883,2330000915258,2010528510,2010528510
249765959,677549385,2330000380877,172681227,172681227
249768151,677549476,2330000607383,173693761,173693761
249777863,677550808,2330000767232,2008735312,2008735312
249778978,677550919,2330000866799,2008604739,2008604739
249779745,677551068,2330001031673,2035427247,2035427247
249783101,677551435,2330000324624,2010153022,2010153022
249788423,677551579,2330000466433,2020261537,2020261537
249788712,677551608,2330001140210,2042565442,2042565442
249789009,677551637,2330000217172,177411586,177411586
249794355,677552659,2330000642243,173043310,173043310
249794538,677552677,2330000928281,2019970484,2019970484
249795253,677552792,2330000309314,176781760,176781760
249798547,677553250,2330000642243,173043310,173043310
249803222,677553711,2330000517185,173692076,173692076
249809443,677554483,2330000020504,177716209,172966666
249834953,677557724,2330000625476,300005562,300005562
249839275,677558271,2330000630079,2021676939,2021676939
249822263,677556297,2330001415483,175904459,2064913629
249688821,677537700,2330000217172,177411586,177411586
249700444,677538862,2330000487499,175631690,175631690
249706573,677539477,2330000171794,174241088,174241088
249715897,677540407,2330001173679,2043146515,2043146515
249728718,677541689,2330000337382,174894669,174894669
249743279,677543145,2330000073671,189680238,189680238
249747262,677543544,2330000184048,174823435,174823435
249754227,677544240,2330000603789,173999291,173999291
249760547,677544872,2330000867727,2010860099,2010860099
249760745,677544892,2330000134027,2031249155,177378376
249760794,677544897,2330000700131,175303046,175303046
249762030,677545023,2330000382075,177977586,176611367
249764416,677549102,2330000259725,174138676,174138676
249764838,677549144,2330000480481,178263558,178263558
249767997,677549460,2330000280744,173582635,173582635
249778150,677550837,2330000133351,2021624902,2021624902
249782699,677551392,2330000713285,177383121,177383121
249784638,677551873,2330000739002,177265132,177265132
249785676,677551977,2330000739691,186491097,186491097
249788779,677551614,2330000539449,172842646,172842646
249794637,677552730,2330001157564,2042436260,2042436260
249794868,677552753,2330000371339,173914290,173914290
249819822,677555809,2330000867592,2015407640,2015407640
249830001,677557243,2330000620060,179858802,179858802
249836354,677557907,2330000586228,175090801,175090801
249839853,677558487,2330000736423,178130629,178130629
249847831,677559457,2330001254274,2045546740,2045546740
249772278,677549888,2330000936311,175636925,175636925
249707704,677539588,2330000586228,175090801,175090801
249707993,677539617,2330000758348,177682972,177682972
249709304,677539749,2330000333821,174253527,174253527
249743790,677543197,2330000217172,177411586,177411586
249744145,677543232,2330000011681,177314876,177314876
249746819,677543499,2330001073332,2036177537,2036177537
249748930,677543840,2330000394614,172846777,172846777
249751140,677543932,2330000025173,173630866,173630866
249752049,677544022,2330000607631,175081389,175081389
249754268,677544244,2330000607637,177261202,177261202
249757154,677544533,2330000611667,2020040593,174604655
249758483,677544667,2330000172793,174712760,174712760
249761479,677544967,2330000807083,2009734061,2009734061
249765348,677549324,2330000452815,2008786717,174090855
249765793,677549369,2330000237303,173557480,173557480
249767161,677549249,2330000564258,175742853,175742853
249768417,677549502,2330000752684,174708918,174708918
249769738,677549634,2330000167170,176275749,176275749
249776527,677550445,2330000085710,173622612,173622612
249777145,677550606,2330000074505,173733658,173733658
249778416,677550863,2330001256100,2043947649,2043947649
249779794,677551073,2330000115150,172235583,172235583
249783432,677551468,2330000055183,175999995,175999995
249785866,677551996,2330000557746,177268293,177268293
249786625,677552072,2330000152513,173107414,173107414
249787276,677551750,2330000958934,2023692754,2023692754
249790783,677552259,2330000864376,2009807533,2009807533
249801358,677553402,2330000537189,172833195,172833195
249802281,677553495,2330000290155,177199204,177199204
249803719,677553803,2330000758474,172869841,172869841
249810375,677554576,2330000719963,2009950988,2009950988
249811027,677554641,2330000659729,184424698,184424698
249813460,677554957,2330000684951,175110381,175110381
249821265,677555953,2330000517185,173692076,173692076
249823048,677556090,2330000089905,172012096,172012096
249824202,677556206,2330001077850,2039369829,2039369829
249824392,677556510,2330000740571,176681347,176681347
249825167,677556587,2330000470024,173227897,173227897
249826041,677556719,2330000475427,173421724,173421724
249827759,677556889,2330000638041,181898056,181898056
249832379,677557481,2330000493570,173768611,173768611
249837725,677558044,2330000703359,176372928,176372928
249839028,677558246,2330000381112,2009657517,173781670
249844978,677558872,2330000570700,2034279387,2022114947
249850090,677559683,2330000127700,300046815,300046815
249861816,677560856,2330000431940,173633028,173633028
249864356,677561238,2330000515566,174198098,174198098
249838665,677558210,2330000546592,175976693,175976693
249820903,677555917,2330000391380,175020659,175020659
249719717,677540789,2330000697605,181458879,181458879
249727496,677541567,2330001177153,2042859487,2042859487
249732462,677542064,2330000363266,175116897,175116897
249740101,677542828,2330001163263,2044341405,2044341405
249741141,677542932,2330000752632,176411379,176411379
249748567,677543803,2330000700912,183118529,183118529
249750589,677543748,2330000460218,173770355,173770355
249752809,677544098,2330000663620,2021116821,177517948
249754144,677544232,2330000683905,176227688,176227688
249754839,677544301,2330000728628,173661703,173661703
249755208,677544338,2330001050545,2045441022,2045441022
249758970,677544716,2330001256100,2043947649,2043947649
249760869,677544904,2330000758695,2009107150,2009107150
249762709,677548931,2330001173644,2042733578,2042733578
249763384,677548999,2330000457083,173243875,173243875
249764358,677549096,2330000713285,177383121,177383121
249765058,677549295,2330001218194,2044713782,2044713782
249765165,677549306,2330001392319,2063405615,2063405615
249767559,677549416,2330001057004,2042762783,2042762783
249771163,677549777,2330001002917,2020527969,2020527969
249777228,677550614,2330000461956,2036877963,172501204
249777236,677550615,2330000170111,173940784,173940784
249778812,677550903,2330000072089,2037759907,2037759907
249792706,677552451,2330001009047,2021150817,2021150817
249800061,677553145,2330001173679,2043146515,2043146515
249801614,677553428,2330000068200,172761810,172761810
249802505,677553639,2330000571924,2034750189,2034750189
249803768,677553808,2330000237368,172464727,172464727
249806886,677554185,2330001282624,2050344105,2050344105
249807249,677554221,2330001081522,2042786071,2042786071
249810607,677554599,2330000700778,178430589,178430589
249810730,677554612,2330001123064,2039435229,2039435229
249812975,677554908,2330000700941,176429461,176429461
249813494,677554960,2330000057061,177234999,177234999
249814823,677555194,2330001071795,2016390005,2037759899
249821273,677555954,2330000484619,176546025,176546025
249821760,677556247,2330000430488,174471587,174471587
249824038,677556189,2330000671486,176586944,176586944
249829458,677557188,2330000167962,177898681,177898681
249831181,677556975,2330000457083,173243875,173243875
249834052,677557391,2330000005888,172888113,172888113
249834664,677557695,2330000307073,172569137,172569137
249850447,677559718,2330001109746,2039609489,2039609489
249863028,677561105,2330001163263,2044341405,2044341405
249733890,677542208,2330000912029,2008668760,2008668760
249702796,677539099,2330001022701,2022070915,2022070915
249706748,677539494,2330000621944,177841167,177841167
249707811,677539599,2330001073332,2036177537,2036177537
249709478,677551166,2330001283264,2045457506,2045457506
249710658,677539883,2330001031673,2035427247,2035427247
249711490,677539968,2330000274483,2009544651,2009544651
249711938,677540012,2330000392807,178047921,178047921
249713827,677540201,2330000143089,175085983,175085983
249723206,677541138,2330000643010,176273025,176273025
249725839,677541403,2330000867608,2010139066,2010139066
249732256,677542043,2330000378768,173513526,173513526
249746827,677543500,2330000440868,172145704,172145704
249747544,677543572,2330001109738,2039511761,2039511761
249747668,677543584,2330001194893,2045443891,2045443891
249752791,677544097,2330000948055,2019823192,2019823192
249758020,677544621,2330000926712,2017500472,2017500472
249759754,677544794,2330001087446,2038902883,2039450279
249764002,677549061,2330001138906,2042390038,2042390038
249764945,677549155,2330000115150,172235583,172235583
249765231,677549313,2330000047507,172981893,172981893
249771221,677549783,2330000382075,177977586,176611367
249776410,677550434,2330000244786,174620166,174620166
249776782,677550570,2330000392872,176671236,176671236
249790999,677552280,2330001079649,172782085,172782085
249793027,677552483,2330000350650,173937132,173937132
249794561,677552680,2330000247737,172465671,172465671
249794801,677552747,2330000752632,176411379,176411379
249795113,677552778,2330001031289,173026056,173026056
249796038,677552870,2330000542167,172469399,172469399
249799024,677553298,2330000667446,2027006666,173098203
249802307,677553497,2330000542214,2035931174,173963918
249811464,677554728,2330000056332,176725359,176725359
249812173,677554799,2330000920422,2008244185,2008244185
249812280,677554810,2330000701380,175851365,175851365
249813502,677554961,2330000502014,174127285,174127285
249814799,677555191,2330000469376,2022669422,176988139
249817461,677555573,2330000493570,173768611,173768611
249823097,677556095,2330001192599,2044917755,2044917755
249825837,677556698,2330000189629,177413378,177413378
249825969,677556711,2330001201631,2045387398,2045387398
249837634,677558035,2330000352112,172207897,172207897
249838624,677558206,2330000340322,172117344,172117344
249838681,677558212,2330000256877,178121575,178121575
249842394,677558743,2330000227172,175431315,175431315
249842576,677558761,2330000012621,177033509,177033509
249852740,677559948,2330001380270,2064561232,2064561232
249854167,677560090,2330000577691,175871994,175871994
